idx,t_us,evt,core,prio,task_id,aux,evt_name
616,49896979,2,0,1,2,0,SW_OUT
617,49896987,1,0,1,1,0,SW_IN
618,49897969,3,0,1,1,0,TICK
619,49897977,2,0,1,1,0,SW_OUT
620,49897984,1,0,1,3,0,SW_IN
621,49938223,3,0,1,3,0,TICK
622,49938232,3,0,1,3,0,TICK
623,49938244,3,0,1,3,0,TICK
624,49938253,3,0,1,3,0,TICK
625,49938262,3,0,1,3,0,TICK
626,49938271,3,0,1,3,0,TICK
627,49938280,3,0,1,3,0,TICK
628,49938291,3,0,1,3,0,TICK
629,49938300,3,0,1,3,0,TICK
630,49938309,3,0,1,3,0,TICK
631,49938319,3,0,1,3,0,TICK
632,49938328,3,0,1,3,0,TICK
633,49938337,3,0,1,3,0,TICK
634,49938346,3,0,1,3,0,TICK
635,49938355,3,0,1,3,0,TICK
636,49938364,3,0,1,3,0,TICK
